model,r2,ev,mae,rmse,training_time(ms),testing_time(ms),normalisation
LinearRegression,0.6139488810520279,0.6139491501644019,4.88681120176865,5.964745703061994,54.57758903503418,8.06879997253418,without
RandomForestRegressor,0.7650985097088976,0.7651246361618854,3.5234864423440597,4.652778855955105,40761.74879074097,597.5832939147949,without
GradientBoostingRegressor,0.7338496795836387,0.7338498282679911,3.940109861618441,4.952597360657259,8340.829610824585,34.03782844543457,without
AdaBoostRegressor,0.6317775531308865,0.6340304055638819,4.8463721242570985,5.825385292502238,6173.13027381897,238.43955993652344,without
HistGradientBoostingRegressor,0.7561280690279151,0.7561283632870323,3.689902067844857,4.740786896030013,786.1430644989014,82.45444297790527,without
BaggingRegressor,0.7423383304171236,0.7423843018894718,3.6905355020667856,4.872977807129192,4073.552131652832,136.7185115814209,without
KNeighborsRegressor,0.41259729774522225,0.41455261068323623,5.693715203981131,7.357622392784603,136.78407669067383,229.50220108032227,without
DecisionTreeRegressor,0.5427703021031693,0.542771391666856,4.688694641715481,6.4913756281707435,617.469072341919,12.763261795043945,without
XGBRegressor,0.7641586649842416,0.7641591558713262,3.6118426912118253,4.662077486595746,535.1028442382812,24.6427059173584,without
LinearRegression,0.6139488810520279,0.6139491501644019,4.8868112017686585,5.964745703061994,18.681049346923828,0.4482269287109375,minmax
RandomForestRegressor,0.7648172535088428,0.7648455024961481,3.5269739232649266,4.655563494353613,38765.96403121948,584.2092037200928,minmax
GradientBoostingRegressor,0.7338766994786892,0.7338768528657305,3.9400517772694004,4.9523459575080295,8572.795867919922,29.089927673339844,minmax
AdaBoostRegressor,0.641177812645114,0.6431338647818727,4.769776542609055,5.750547165516215,2491.767406463623,26.433467864990234,minmax
HistGradientBoostingRegressor,0.7565525891936897,0.7565526724451013,3.6897760769269325,4.736658835381277,576.2882232666016,78.0177116394043,minmax
BaggingRegressor,0.7440222077454588,0.7440584807693158,3.6731398061272094,4.857028700215082,3781.3565731048584,67.10124015808105,minmax
KNeighborsRegressor,0.64245342066963,0.6424739229651235,4.43105380171525,5.7403165062461134,98.92702102661133,4011.751890182495,minmax
DecisionTreeRegressor,0.535681694063644,0.5356819580270327,4.71946863534521,6.541501243974614,612.9839420318604,8.545398712158203,minmax
XGBRegressor,0.7641586649842416,0.7641591558713262,3.6118426912118253,4.662077486595746,485.86010932922363,16.67046546936035,minmax
LinearRegression,0.6139488810520279,0.6139491501644019,4.886811201768628,5.964745703061993,15.9759521484375,0.3960132598876953,standard
RandomForestRegressor,0.7655476039450928,0.7655778790651169,3.5253927445536872,4.648329042046239,38102.152824401855,577.6994228363037,standard
GradientBoostingRegressor,0.7338768199079178,0.733876972313686,3.940039731589508,4.952344836961144,8352.246046066284,29.32286262512207,standard
AdaBoostRegressor,0.640326168434795,0.6424603091323483,4.771293713502746,5.757367420614682,2304.6345710754395,22.36342430114746,standard
HistGradientBoostingRegressor,0.7557270123169397,0.7557274086732139,3.6968629678927805,4.744683497279546,590.8493995666504,81.08019828796387,standard
BaggingRegressor,0.7426754005089722,0.7426788529828038,3.6814969223798473,4.869789376700614,3720.2396392822266,64.96691703796387,standard
KNeighborsRegressor,0.6547671196699116,0.6549218561946588,4.348249615537471,5.640603869915874,101.54056549072266,2218.5981273651123,standard
DecisionTreeRegressor,0.539346564777099,0.5393465726166651,4.703030054314332,6.515634021057698,591.4154052734375,9.198665618896484,standard
XGBRegressor,0.7641586649842416,0.7641591558713262,3.6118426912118253,4.662077486595746,280.933141708374,27.63652801513672,standard
